"Step","lmbda0_lr5e5_steps20k - train/loss","lmbda0_lr5e5_steps20k - train/loss__MIN","lmbda0_lr5e5_steps20k - train/loss__MAX","lmbda1_lr1e4 - train/loss","lmbda1_lr1e4 - train/loss__MIN","lmbda1_lr1e4 - train/loss__MAX","lmbda1_lr5e5 - train/loss","lmbda1_lr5e5 - train/loss__MIN","lmbda1_lr5e5 - train/loss__MAX","lmbda0_beta1 - train/loss","lmbda0_beta1 - train/loss__MIN","lmbda0_beta1 - train/loss__MAX","lmbda0_lr1e4 - train/loss","lmbda0_lr1e4 - train/loss__MIN","lmbda0_lr1e4 - train/loss__MAX","lmbda1_tok512 - train/loss","lmbda1_tok512 - train/loss__MIN","lmbda1_tok512 - train/loss__MAX","lmbda1_bs16 - train/loss","lmbda1_bs16 - train/loss__MIN","lmbda1_bs16 - train/loss__MAX","lmbda1_tok256 - train/loss","lmbda1_tok256 - train/loss__MIN","lmbda1_tok256 - train/loss__MAX","lmbda1_beta05 - train/loss","lmbda1_beta05 - train/loss__MIN","lmbda1_beta05 - train/loss__MAX","lmbda0_beta05 - train/loss","lmbda0_beta05 - train/loss__MIN","lmbda0_beta05 - train/loss__MAX"
"34","0.3588","0.3588","0.3588","0.2612","0.2612","0.2612","0.3098","0.3098","0.3098","0.3155","0.3155","0.3155","0.208","0.208","0.208","1.5579","1.5579","1.5579","0.6928","0.6928","0.6928","0.7677","0.7677","0.7677","0.1308","0.1308","0.1308","0.1044","0.1044","0.1044"
"35","0.3556","0.3556","0.3556","0.2687","0.2687","0.2687","0.2792","0.2792","0.2792","0.285","0.285","0.285","0.1805","0.1805","0.1805","1.4643","1.4643","1.4643","0.6776","0.6776","0.6776","0.7347","0.7347","0.7347","0.1305","0.1305","0.1305","0.1024","0.1024","0.1024"
"36","0.3061","0.3061","0.3061","0.2595","0.2595","0.2595","0.2773","0.2773","0.2773","0.2575","0.2575","0.2575","0.1663","0.1663","0.1663","1.4234","1.4234","1.4234","0.6862","0.6862","0.6862","0.7682","0.7682","0.7682","0.1302","0.1302","0.1302","0.0986","0.0986","0.0986"
"37","","","","0.2594","0.2594","0.2594","0.2888","0.2888","0.2888","0.2798","0.2798","0.2798","0.1718","0.1718","0.1718","1.4371","1.4371","1.4371","0.7182","0.7182","0.7182","0.7301","0.7301","0.7301","0.1326","0.1326","0.1326","0.101","0.101","0.101"
"38","","","","0.2682","0.2682","0.2682","0.2954","0.2954","0.2954","0.3071","0.3071","0.3071","0.1862","0.1862","0.1862","1.4969","1.4969","1.4969","0.6271","0.6271","0.6271","0.7734","0.7734","0.7734","0.1314","0.1314","0.1314","0.1017","0.1017","0.1017"
"39","0.3938","0.3938","0.3938","0.3439","0.3439","0.3439","0.3644","0.3644","0.3644","0.3522","0.3522","0.3522","0.2242","0.2242","0.2242","1.7489","1.7489","1.7489","0.6775","0.6775","0.6775","0.8314","0.8314","0.8314","0.1523","0.1523","0.1523","0.1205","0.1205","0.1205"
"40","","","","0.2733","0.2733","0.2733","0.3026","0.3026","0.3026","0.2921","0.2921","0.2921","0.19","0.19","0.19","1.493","1.493","1.493","0.698","0.698","0.698","0.6956","0.6956","0.6956","0.1355","0.1355","0.1355","0.1002","0.1002","0.1002"
"41","","","","0.2343","0.2343","0.2343","0.2631","0.2631","0.2631","0.2807","0.2807","0.2807","0.1728","0.1728","0.1728","1.4041","1.4041","1.4041","0.6638","0.6638","0.6638","0.6862","0.6862","0.6862","0.1194","0.1194","0.1194","0.1024","0.1024","0.1024"
"42","0.3218","0.3218","0.3218","0.2269","0.2269","0.2269","0.267","0.267","0.267","0.2488","0.2488","0.2488","0.1538","0.1538","0.1538","1.3613","1.3613","1.3613","0.6664","0.6664","0.6664","0.6396","0.6396","0.6396","0.1148","0.1148","0.1148","0.0891","0.0891","0.0891"
"43","","","","0.2582","0.2582","0.2582","0.2834","0.2834","0.2834","0.2925","0.2925","0.2925","0.1905","0.1905","0.1905","1.2829","1.2829","1.2829","0.6878","0.6878","0.6878","0.6424","0.6424","0.6424","0.1157","0.1157","0.1157","0.1022","0.1022","0.1022"
"44","0.3738","0.3738","0.3738","0.2473","0.2473","0.2473","0.2715","0.2715","0.2715","0.2907","0.2907","0.2907","0.1737","0.1737","0.1737","1.2969","1.2969","1.2969","0.641","0.641","0.641","0.6695","0.6695","0.6695","0.1285","0.1285","0.1285","0.1063","0.1063","0.1063"
